kernel_name,Metric Name,AI generated Metric Value,Reference Metric Value,Difference,Metric Unit
_layer_norm_bwd_dwdb,DRAM Frequency,N/A,1593220338.98,N/A,hz
_layer_norm_bwd_dwdb,SM Frequency,N/A,1349003575.21,N/A,hz
_layer_norm_bwd_dwdb,Elapsed Cycles,N/A,50955,N/A,cycle
_layer_norm_bwd_dwdb,Memory Throughput,N/A,2.28,N/A,%
_layer_norm_bwd_dwdb,DRAM Throughput,N/A,2.28,N/A,%
_layer_norm_bwd_dwdb,Duration,N/A,37760,N/A,ns
_layer_norm_bwd_dwdb,L1/TEX Cache Throughput,N/A,6.90,N/A,%
_layer_norm_bwd_dwdb,L2 Cache Throughput,N/A,2.83,N/A,%
_layer_norm_bwd_dwdb,SM Active Cycles,N/A,2871.39,N/A,cycle
_layer_norm_bwd_dwdb,Compute (SM) Throughput,N/A,0.26,N/A,%
_layer_norm_bwd_dwdb,Block Size,N/A,128,N/A,
_layer_norm_bwd_dwdb,Cluster Size,N/A,0,N/A,
_layer_norm_bwd_dwdb,Grid Size,N/A,8,N/A,
_layer_norm_bwd_dwdb,Registers Per Thread,N/A,96,N/A,register/thread
_layer_norm_bwd_dwdb,Shared Memory Configuration Size,N/A,32768,N/A,byte
_layer_norm_bwd_dwdb,Driver Shared Memory Per Block,N/A,1024,N/A,byte/block
_layer_norm_bwd_dwdb,Dynamic Shared Memory Per Block,N/A,2048,N/A,byte/block
_layer_norm_bwd_dwdb,Static Shared Memory Per Block,N/A,0,N/A,byte/block
_layer_norm_bwd_dwdb,# SMs,N/A,132,N/A,SM
_layer_norm_bwd_dwdb,Threads,N/A,1024,N/A,thread
_layer_norm_bwd_dwdb,Uses Green Context,N/A,0,N/A,
_layer_norm_bwd_dwdb,Waves Per SM,N/A,0.01,N/A,
_layer_norm_bwd_dwdb,Max Active Clusters,N/A,0,N/A,cluster
_layer_norm_bwd_dwdb,Max Cluster Size,N/A,8,N/A,block
_layer_norm_bwd_dwdb,Overall GPU Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dwdb,Cluster Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dwdb,Block Limit Barriers,N/A,32,N/A,block
_layer_norm_bwd_dwdb,Block Limit SM,N/A,32,N/A,block
_layer_norm_bwd_dwdb,Block Limit Registers,N/A,5,N/A,block
_layer_norm_bwd_dwdb,Block Limit Shared Mem,N/A,10,N/A,block
_layer_norm_bwd_dwdb,Block Limit Warps,N/A,16,N/A,block
_layer_norm_bwd_dwdb,Theoretical Active Warps per SM,N/A,20,N/A,warp
_layer_norm_bwd_dwdb,Theoretical Occupancy,N/A,31.25,N/A,%
_layer_norm_bwd_dwdb,Achieved Occupancy,N/A,6.25,N/A,%
_layer_norm_bwd_dwdb,Achieved Active Warps Per SM,N/A,4.00,N/A,warp
_layer_norm_bwd_dwdb,Average DRAM Active Cycles,N/A,1372.17,N/A,cycle
_layer_norm_bwd_dwdb,Total DRAM Elapsed Cycles,N/A,2887680,N/A,cycle
_layer_norm_bwd_dwdb,Average L1 Active Cycles,N/A,2871.39,N/A,cycle
_layer_norm_bwd_dwdb,Total L1 Elapsed Cycles,N/A,6723900,N/A,cycle
_layer_norm_bwd_dwdb,Average L2 Active Cycles,N/A,23813.72,N/A,cycle
_layer_norm_bwd_dwdb,Total L2 Elapsed Cycles,N/A,4888992,N/A,cycle
_layer_norm_bwd_dwdb,Average SM Active Cycles,N/A,2871.39,N/A,cycle
_layer_norm_bwd_dwdb,Total SM Elapsed Cycles,N/A,6723900,N/A,cycle
_layer_norm_bwd_dwdb,Average SMSP Active Cycles,N/A,2862.97,N/A,cycle
_layer_norm_bwd_dwdb,Total SMSP Elapsed Cycles,N/A,26895600,N/A,cycle
_layer_norm_bwd_dwdb,Achieved of Possible Occupancy,N/A,0.2,N/A,%
_layer_norm_bwd_dwdb,Cosine Similarity,N/A,1.0,N/A,
_layer_norm_bwd_dwdb,compiles,True,True,N/A,
_layer_norm_bwd_dx_fused,DRAM Frequency,N/A,1590724637.68,N/A,hz
_layer_norm_bwd_dx_fused,SM Frequency,N/A,1339769021.74,N/A,hz
_layer_norm_bwd_dx_fused,Elapsed Cycles,N/A,24733,N/A,cycle
_layer_norm_bwd_dx_fused,Memory Throughput,N/A,38.79,N/A,%
_layer_norm_bwd_dx_fused,DRAM Throughput,N/A,18.71,N/A,%
_layer_norm_bwd_dx_fused,Duration,N/A,18400,N/A,ns
_layer_norm_bwd_dx_fused,L1/TEX Cache Throughput,N/A,19.38,N/A,%
_layer_norm_bwd_dx_fused,L2 Cache Throughput,N/A,64.30,N/A,%
_layer_norm_bwd_dx_fused,SM Active Cycles,N/A,19830.39,N/A,cycle
_layer_norm_bwd_dx_fused,Compute (SM) Throughput,N/A,10.86,N/A,%
_layer_norm_bwd_dx_fused,Block Size,N/A,128,N/A,
_layer_norm_bwd_dx_fused,Cluster Size,N/A,0,N/A,
_layer_norm_bwd_dx_fused,Grid Size,N/A,1024,N/A,
_layer_norm_bwd_dx_fused,Registers Per Thread,N/A,40,N/A,register/thread
_layer_norm_bwd_dx_fused,Shared Memory Configuration Size,N/A,32768,N/A,byte
_layer_norm_bwd_dx_fused,Driver Shared Memory Per Block,N/A,1024,N/A,byte/block
_layer_norm_bwd_dx_fused,Dynamic Shared Memory Per Block,N/A,16,N/A,byte/block
_layer_norm_bwd_dx_fused,Static Shared Memory Per Block,N/A,0,N/A,byte/block
_layer_norm_bwd_dx_fused,# SMs,N/A,132,N/A,SM
_layer_norm_bwd_dx_fused,Threads,N/A,131072,N/A,thread
_layer_norm_bwd_dx_fused,Uses Green Context,N/A,0,N/A,
_layer_norm_bwd_dx_fused,Waves Per SM,N/A,0.65,N/A,
_layer_norm_bwd_dx_fused,Max Active Clusters,N/A,0,N/A,cluster
_layer_norm_bwd_dx_fused,Max Cluster Size,N/A,8,N/A,block
_layer_norm_bwd_dx_fused,Overall GPU Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dx_fused,Cluster Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dx_fused,Block Limit Barriers,N/A,32,N/A,block
_layer_norm_bwd_dx_fused,Block Limit SM,N/A,32,N/A,block
_layer_norm_bwd_dx_fused,Block Limit Registers,N/A,12,N/A,block
_layer_norm_bwd_dx_fused,Block Limit Shared Mem,N/A,28,N/A,block
_layer_norm_bwd_dx_fused,Block Limit Warps,N/A,16,N/A,block
_layer_norm_bwd_dx_fused,Theoretical Active Warps per SM,N/A,48,N/A,warp
_layer_norm_bwd_dx_fused,Theoretical Occupancy,N/A,75,N/A,%
_layer_norm_bwd_dx_fused,Achieved Occupancy,N/A,34.47,N/A,%
_layer_norm_bwd_dx_fused,Achieved Active Warps Per SM,N/A,22.06,N/A,warp
_layer_norm_bwd_dx_fused,Average DRAM Active Cycles,N/A,5475.67,N/A,cycle
_layer_norm_bwd_dx_fused,Total DRAM Elapsed Cycles,N/A,1404928,N/A,cycle
_layer_norm_bwd_dx_fused,Average L1 Active Cycles,N/A,19830.39,N/A,cycle
_layer_norm_bwd_dx_fused,Total L1 Elapsed Cycles,N/A,3253854,N/A,cycle
_layer_norm_bwd_dx_fused,Average L2 Active Cycles,N/A,21497.51,N/A,cycle
_layer_norm_bwd_dx_fused,Total L2 Elapsed Cycles,N/A,2362848,N/A,cycle
_layer_norm_bwd_dx_fused,Average SM Active Cycles,N/A,19830.39,N/A,cycle
_layer_norm_bwd_dx_fused,Total SM Elapsed Cycles,N/A,3253854,N/A,cycle
_layer_norm_bwd_dx_fused,Average SMSP Active Cycles,N/A,18934.29,N/A,cycle
_layer_norm_bwd_dx_fused,Total SMSP Elapsed Cycles,N/A,13015416,N/A,cycle
_layer_norm_bwd_dx_fused,Achieved of Possible Occupancy,N/A,0.4596,N/A,%
_layer_norm_bwd_dx_fused,Cosine Similarity,N/A,1.0000001192092896,N/A,
_layer_norm_bwd_dx_fused,compiles,True,True,N/A,
_layer_norm_fwd_fused,DRAM Frequency,N/A,1588000000,N/A,hz
_layer_norm_fwd_fused,SM Frequency,N/A,1326140625,N/A,hz
_layer_norm_fwd_fused,Elapsed Cycles,N/A,10685,N/A,cycle
_layer_norm_fwd_fused,Memory Throughput,N/A,24.38,N/A,%
_layer_norm_fwd_fused,DRAM Throughput,N/A,21.59,N/A,%
_layer_norm_fwd_fused,Duration,N/A,8000,N/A,ns
_layer_norm_fwd_fused,L1/TEX Cache Throughput,N/A,39.76,N/A,%
_layer_norm_fwd_fused,L2 Cache Throughput,N/A,33.80,N/A,%
_layer_norm_fwd_fused,SM Active Cycles,N/A,6504.95,N/A,cycle
_layer_norm_fwd_fused,Compute (SM) Throughput,N/A,24.52,N/A,%
_layer_norm_fwd_fused,Block Size,N/A,128,N/A,
_layer_norm_fwd_fused,Cluster Size,N/A,0,N/A,
_layer_norm_fwd_fused,Grid Size,N/A,1024,N/A,
_layer_norm_fwd_fused,Registers Per Thread,N/A,32,N/A,register/thread
_layer_norm_fwd_fused,Shared Memory Configuration Size,N/A,32768,N/A,byte
_layer_norm_fwd_fused,Driver Shared Memory Per Block,N/A,1024,N/A,byte/block
_layer_norm_fwd_fused,Dynamic Shared Memory Per Block,N/A,16,N/A,byte/block
_layer_norm_fwd_fused,Static Shared Memory Per Block,N/A,0,N/A,byte/block
_layer_norm_fwd_fused,# SMs,N/A,132,N/A,SM
_layer_norm_fwd_fused,Threads,N/A,131072,N/A,thread
_layer_norm_fwd_fused,Uses Green Context,N/A,0,N/A,
_layer_norm_fwd_fused,Waves Per SM,N/A,0.48,N/A,
_layer_norm_fwd_fused,Max Active Clusters,N/A,0,N/A,cluster
_layer_norm_fwd_fused,Max Cluster Size,N/A,8,N/A,block
_layer_norm_fwd_fused,Overall GPU Occupancy,N/A,0,N/A,%
_layer_norm_fwd_fused,Cluster Occupancy,N/A,0,N/A,%
_layer_norm_fwd_fused,Block Limit Barriers,N/A,32,N/A,block
_layer_norm_fwd_fused,Block Limit SM,N/A,32,N/A,block
_layer_norm_fwd_fused,Block Limit Registers,N/A,16,N/A,block
_layer_norm_fwd_fused,Block Limit Shared Mem,N/A,28,N/A,block
_layer_norm_fwd_fused,Block Limit Warps,N/A,16,N/A,block
_layer_norm_fwd_fused,Theoretical Active Warps per SM,N/A,64,N/A,warp
_layer_norm_fwd_fused,Theoretical Occupancy,N/A,100,N/A,%
_layer_norm_fwd_fused,Achieved Occupancy,N/A,42.71,N/A,%
_layer_norm_fwd_fused,Achieved Active Warps Per SM,N/A,27.33,N/A,warp
_layer_norm_fwd_fused,Average DRAM Active Cycles,N/A,2743.33,N/A,cycle
_layer_norm_fwd_fused,Total DRAM Elapsed Cycles,N/A,609792,N/A,cycle
_layer_norm_fwd_fused,Average L1 Active Cycles,N/A,6504.95,N/A,cycle
_layer_norm_fwd_fused,Total L1 Elapsed Cycles,N/A,1400300,N/A,cycle
_layer_norm_fwd_fused,Average L2 Active Cycles,N/A,6920.20,N/A,cycle
_layer_norm_fwd_fused,Total L2 Elapsed Cycles,N/A,1030944,N/A,cycle
_layer_norm_fwd_fused,Average SM Active Cycles,N/A,6504.95,N/A,cycle
_layer_norm_fwd_fused,Total SM Elapsed Cycles,N/A,1400300,N/A,cycle
_layer_norm_fwd_fused,Average SMSP Active Cycles,N/A,6565.17,N/A,cycle
_layer_norm_fwd_fused,Total SMSP Elapsed Cycles,N/A,5601200,N/A,cycle
_layer_norm_fwd_fused,Achieved of Possible Occupancy,N/A,0.42710000000000004,N/A,%
_layer_norm_fwd_fused,Cosine Similarity,N/A,N/A,N/A,
_layer_norm_fwd_fused,compiles,True,True,N/A,
add_kernel,DRAM Frequency,N/A,1574803149.61,N/A,hz
add_kernel,SM Frequency,N/A,1331539124.02,N/A,hz
add_kernel,Elapsed Cycles,N/A,5416,N/A,cycle
add_kernel,Memory Throughput,N/A,12.70,N/A,%
add_kernel,DRAM Throughput,N/A,8.04,N/A,%
add_kernel,Duration,N/A,4064,N/A,ns
add_kernel,L1/TEX Cache Throughput,N/A,8.70,N/A,%
add_kernel,L2 Cache Throughput,N/A,19.79,N/A,%
add_kernel,SM Active Cycles,N/A,1361.46,N/A,cycle
add_kernel,Compute (SM) Throughput,N/A,0.76,N/A,%
add_kernel,Block Size,N/A,128,N/A,
add_kernel,Cluster Size,N/A,0,N/A,
add_kernel,Grid Size,N/A,97,N/A,
add_kernel,Registers Per Thread,N/A,26,N/A,register/thread
add_kernel,Shared Memory Configuration Size,N/A,32768,N/A,byte
add_kernel,Driver Shared Memory Per Block,N/A,1024,N/A,byte/block
add_kernel,Dynamic Shared Memory Per Block,N/A,0,N/A,byte/block
add_kernel,Static Shared Memory Per Block,N/A,0,N/A,byte/block
add_kernel,# SMs,N/A,132,N/A,SM
add_kernel,Threads,N/A,12416,N/A,thread
add_kernel,Uses Green Context,N/A,0,N/A,
add_kernel,Waves Per SM,N/A,0.05,N/A,
add_kernel,Max Active Clusters,N/A,0,N/A,cluster
add_kernel,Max Cluster Size,N/A,8,N/A,block
