kernel_name,Metric Name,AI generated Metric Value,Reference Metric Value,Difference,Metric Unit
_layer_norm_bwd_dwdb,DRAM Frequency,N/A,1589969265.16,N/A,hz
_layer_norm_bwd_dwdb,SM Frequency,N/A,1347541649.20,N/A,hz
_layer_norm_bwd_dwdb,Elapsed Cycles,N/A,51450,N/A,cycle
_layer_norm_bwd_dwdb,Memory Throughput,N/A,2.26,N/A,%
_layer_norm_bwd_dwdb,DRAM Throughput,N/A,2.26,N/A,%
_layer_norm_bwd_dwdb,Duration,N/A,38176,N/A,ns
_layer_norm_bwd_dwdb,L1/TEX Cache Throughput,N/A,6.90,N/A,%
_layer_norm_bwd_dwdb,L2 Cache Throughput,N/A,2.87,N/A,%
_layer_norm_bwd_dwdb,SM Active Cycles,N/A,2872.11,N/A,cycle
_layer_norm_bwd_dwdb,Compute (SM) Throughput,N/A,0.26,N/A,%
_layer_norm_bwd_dwdb,Block Size,N/A,128,N/A,
_layer_norm_bwd_dwdb,Cluster Size,N/A,0,N/A,
_layer_norm_bwd_dwdb,Grid Size,N/A,8,N/A,
_layer_norm_bwd_dwdb,Registers Per Thread,N/A,96,N/A,register/thread
_layer_norm_bwd_dwdb,Shared Memory Configuration Size,N/A,32768,N/A,byte
_layer_norm_bwd_dwdb,Driver Shared Memory Per Block,N/A,1024,N/A,byte/block
_layer_norm_bwd_dwdb,Dynamic Shared Memory Per Block,N/A,2048,N/A,byte/block
_layer_norm_bwd_dwdb,Static Shared Memory Per Block,N/A,0,N/A,byte/block
_layer_norm_bwd_dwdb,# SMs,N/A,132,N/A,SM
_layer_norm_bwd_dwdb,Threads,N/A,1024,N/A,thread
_layer_norm_bwd_dwdb,Uses Green Context,N/A,0,N/A,
_layer_norm_bwd_dwdb,Waves Per SM,N/A,0.01,N/A,
_layer_norm_bwd_dwdb,Max Active Clusters,N/A,0,N/A,cluster
_layer_norm_bwd_dwdb,Max Cluster Size,N/A,8,N/A,block
_layer_norm_bwd_dwdb,Overall GPU Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dwdb,Cluster Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dwdb,Block Limit Barriers,N/A,32,N/A,block
_layer_norm_bwd_dwdb,Block Limit SM,N/A,32,N/A,block
_layer_norm_bwd_dwdb,Block Limit Registers,N/A,5,N/A,block
_layer_norm_bwd_dwdb,Block Limit Shared Mem,N/A,10,N/A,block
_layer_norm_bwd_dwdb,Block Limit Warps,N/A,16,N/A,block
_layer_norm_bwd_dwdb,Theoretical Active Warps per SM,N/A,20,N/A,warp
_layer_norm_bwd_dwdb,Theoretical Occupancy,N/A,31.25,N/A,%
_layer_norm_bwd_dwdb,Achieved Occupancy,N/A,6.25,N/A,%
_layer_norm_bwd_dwdb,Achieved Active Warps Per SM,N/A,4.00,N/A,warp
_layer_norm_bwd_dwdb,Average DRAM Active Cycles,N/A,1372.17,N/A,cycle
_layer_norm_bwd_dwdb,Total DRAM Elapsed Cycles,N/A,2913536,N/A,cycle
_layer_norm_bwd_dwdb,Average L1 Active Cycles,N/A,2872.11,N/A,cycle
_layer_norm_bwd_dwdb,Total L1 Elapsed Cycles,N/A,6790584,N/A,cycle
_layer_norm_bwd_dwdb,Average L2 Active Cycles,N/A,22578.27,N/A,cycle
_layer_norm_bwd_dwdb,Total L2 Elapsed Cycles,N/A,4934304,N/A,cycle
_layer_norm_bwd_dwdb,Average SM Active Cycles,N/A,2872.11,N/A,cycle
_layer_norm_bwd_dwdb,Total SM Elapsed Cycles,N/A,6790584,N/A,cycle
_layer_norm_bwd_dwdb,Average SMSP Active Cycles,N/A,2833.24,N/A,cycle
_layer_norm_bwd_dwdb,Total SMSP Elapsed Cycles,N/A,27162336,N/A,cycle
_layer_norm_bwd_dwdb,Achieved of Possible Occupancy,N/A,0.2,N/A,%
_layer_norm_bwd_dwdb,Cosine Similarity,N/A,0.9999998807907104,N/A,
_layer_norm_bwd_dwdb,compiles,True,True,N/A,
_layer_norm_bwd_dx_fused,DRAM Frequency,N/A,1587734241.91,N/A,hz
_layer_norm_bwd_dx_fused,SM Frequency,N/A,1339011925.04,N/A,hz
_layer_norm_bwd_dx_fused,Elapsed Cycles,N/A,25248,N/A,cycle
_layer_norm_bwd_dx_fused,Memory Throughput,N/A,38.07,N/A,%
_layer_norm_bwd_dx_fused,DRAM Throughput,N/A,18.36,N/A,%
_layer_norm_bwd_dx_fused,Duration,N/A,18784,N/A,ns
_layer_norm_bwd_dx_fused,L1/TEX Cache Throughput,N/A,19.56,N/A,%
_layer_norm_bwd_dx_fused,L2 Cache Throughput,N/A,62.29,N/A,%
_layer_norm_bwd_dx_fused,SM Active Cycles,N/A,19563.58,N/A,cycle
_layer_norm_bwd_dx_fused,Compute (SM) Throughput,N/A,10.57,N/A,%
_layer_norm_bwd_dx_fused,Block Size,N/A,128,N/A,
_layer_norm_bwd_dx_fused,Cluster Size,N/A,0,N/A,
_layer_norm_bwd_dx_fused,Grid Size,N/A,1024,N/A,
_layer_norm_bwd_dx_fused,Registers Per Thread,N/A,40,N/A,register/thread
_layer_norm_bwd_dx_fused,Shared Memory Configuration Size,N/A,32768,N/A,byte
_layer_norm_bwd_dx_fused,Driver Shared Memory Per Block,N/A,1024,N/A,byte/block
_layer_norm_bwd_dx_fused,Dynamic Shared Memory Per Block,N/A,16,N/A,byte/block
_layer_norm_bwd_dx_fused,Static Shared Memory Per Block,N/A,0,N/A,byte/block
_layer_norm_bwd_dx_fused,# SMs,N/A,132,N/A,SM
_layer_norm_bwd_dx_fused,Threads,N/A,131072,N/A,thread
_layer_norm_bwd_dx_fused,Uses Green Context,N/A,0,N/A,
_layer_norm_bwd_dx_fused,Waves Per SM,N/A,0.65,N/A,
_layer_norm_bwd_dx_fused,Max Active Clusters,N/A,0,N/A,cluster
_layer_norm_bwd_dx_fused,Max Cluster Size,N/A,8,N/A,block
_layer_norm_bwd_dx_fused,Overall GPU Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dx_fused,Cluster Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dx_fused,Block Limit Barriers,N/A,32,N/A,block
_layer_norm_bwd_dx_fused,Block Limit SM,N/A,32,N/A,block
_layer_norm_bwd_dx_fused,Block Limit Registers,N/A,12,N/A,block
_layer_norm_bwd_dx_fused,Block Limit Shared Mem,N/A,28,N/A,block
_layer_norm_bwd_dx_fused,Block Limit Warps,N/A,16,N/A,block
_layer_norm_bwd_dx_fused,Theoretical Active Warps per SM,N/A,48,N/A,warp
_layer_norm_bwd_dx_fused,Theoretical Occupancy,N/A,75,N/A,%
_layer_norm_bwd_dx_fused,Achieved Occupancy,N/A,34.70,N/A,%
_layer_norm_bwd_dx_fused,Achieved Active Warps Per SM,N/A,22.21,N/A,warp
_layer_norm_bwd_dx_fused,Average DRAM Active Cycles,N/A,5475.67,N/A,cycle
_layer_norm_bwd_dx_fused,Total DRAM Elapsed Cycles,N/A,1431552,N/A,cycle
_layer_norm_bwd_dx_fused,Average L1 Active Cycles,N/A,19563.58,N/A,cycle
_layer_norm_bwd_dx_fused,Total L1 Elapsed Cycles,N/A,3319874,N/A,cycle
_layer_norm_bwd_dx_fused,Average L2 Active Cycles,N/A,20905.42,N/A,cycle
_layer_norm_bwd_dx_fused,Total L2 Elapsed Cycles,N/A,2412000,N/A,cycle
_layer_norm_bwd_dx_fused,Average SM Active Cycles,N/A,19563.58,N/A,cycle
_layer_norm_bwd_dx_fused,Total SM Elapsed Cycles,N/A,3319874,N/A,cycle
_layer_norm_bwd_dx_fused,Average SMSP Active Cycles,N/A,18931.74,N/A,cycle
_layer_norm_bwd_dx_fused,Total SMSP Elapsed Cycles,N/A,13279496,N/A,cycle
_layer_norm_bwd_dx_fused,Achieved of Possible Occupancy,N/A,0.4626666666666667,N/A,%
_layer_norm_bwd_dx_fused,Cosine Similarity,N/A,1.000000238418579,N/A,
_layer_norm_bwd_dx_fused,compiles,True,True,N/A,
_layer_norm_fwd_fused,DRAM Frequency,N/A,1583333333.33,N/A,hz
_layer_norm_fwd_fused,SM Frequency,N/A,1322498139.88,N/A,hz
_layer_norm_fwd_fused,Elapsed Cycles,N/A,10724,N/A,cycle
_layer_norm_fwd_fused,Memory Throughput,N/A,24.29,N/A,%
_layer_norm_fwd_fused,DRAM Throughput,N/A,21.49,N/A,%
_layer_norm_fwd_fused,Duration,N/A,8064,N/A,ns
_layer_norm_fwd_fused,L1/TEX Cache Throughput,N/A,40.03,N/A,%
