kernel_name,Metric Name,AI generated Metric Value,Reference Metric Value,Difference,Metric Unit
_layer_norm_bwd_dwdb,DRAM Frequency,N/A,1592090395.48,N/A,hz
_layer_norm_bwd_dwdb,SM Frequency,N/A,1348156117.58,N/A,hz
_layer_norm_bwd_dwdb,Elapsed Cycles,N/A,50918,N/A,cycle
_layer_norm_bwd_dwdb,Memory Throughput,N/A,2.28,N/A,%
_layer_norm_bwd_dwdb,DRAM Throughput,N/A,2.28,N/A,%
_layer_norm_bwd_dwdb,Duration,N/A,37760,N/A,ns
_layer_norm_bwd_dwdb,L1/TEX Cache Throughput,N/A,6.91,N/A,%
_layer_norm_bwd_dwdb,L2 Cache Throughput,N/A,2.79,N/A,%
_layer_norm_bwd_dwdb,SM Active Cycles,N/A,2868.44,N/A,cycle
_layer_norm_bwd_dwdb,Compute (SM) Throughput,N/A,0.26,N/A,%
_layer_norm_bwd_dwdb,Block Size,N/A,128,N/A,
_layer_norm_bwd_dwdb,Cluster Size,N/A,0,N/A,
_layer_norm_bwd_dwdb,Grid Size,N/A,8,N/A,
_layer_norm_bwd_dwdb,Registers Per Thread,N/A,96,N/A,register/thread
_layer_norm_bwd_dwdb,Shared Memory Configuration Size,N/A,32768,N/A,byte
_layer_norm_bwd_dwdb,Driver Shared Memory Per Block,N/A,1024,N/A,byte/block
_layer_norm_bwd_dwdb,Dynamic Shared Memory Per Block,N/A,2048,N/A,byte/block
_layer_norm_bwd_dwdb,Static Shared Memory Per Block,N/A,0,N/A,byte/block
_layer_norm_bwd_dwdb,# SMs,N/A,132,N/A,SM
_layer_norm_bwd_dwdb,Threads,N/A,1024,N/A,thread
_layer_norm_bwd_dwdb,Uses Green Context,N/A,0,N/A,
_layer_norm_bwd_dwdb,Waves Per SM,N/A,0.01,N/A,
_layer_norm_bwd_dwdb,Max Active Clusters,N/A,0,N/A,cluster
_layer_norm_bwd_dwdb,Max Cluster Size,N/A,8,N/A,block
_layer_norm_bwd_dwdb,Overall GPU Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dwdb,Cluster Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dwdb,Block Limit Barriers,N/A,32,N/A,block
_layer_norm_bwd_dwdb,Block Limit SM,N/A,32,N/A,block
_layer_norm_bwd_dwdb,Block Limit Registers,N/A,5,N/A,block
_layer_norm_bwd_dwdb,Block Limit Shared Mem,N/A,10,N/A,block
_layer_norm_bwd_dwdb,Block Limit Warps,N/A,16,N/A,block
_layer_norm_bwd_dwdb,Theoretical Active Warps per SM,N/A,20,N/A,warp
_layer_norm_bwd_dwdb,Theoretical Occupancy,N/A,31.25,N/A,%
_layer_norm_bwd_dwdb,Achieved Occupancy,N/A,6.25,N/A,%
_layer_norm_bwd_dwdb,Achieved Active Warps Per SM,N/A,4.00,N/A,warp
_layer_norm_bwd_dwdb,Average DRAM Active Cycles,N/A,1372.17,N/A,cycle
_layer_norm_bwd_dwdb,Total DRAM Elapsed Cycles,N/A,2885632,N/A,cycle
_layer_norm_bwd_dwdb,Average L1 Active Cycles,N/A,2868.44,N/A,cycle
_layer_norm_bwd_dwdb,Total L1 Elapsed Cycles,N/A,6719640,N/A,cycle
_layer_norm_bwd_dwdb,Average L2 Active Cycles,N/A,22385.71,N/A,cycle
_layer_norm_bwd_dwdb,Total L2 Elapsed Cycles,N/A,4886688,N/A,cycle
_layer_norm_bwd_dwdb,Average SM Active Cycles,N/A,2868.44,N/A,cycle
_layer_norm_bwd_dwdb,Total SM Elapsed Cycles,N/A,6719640,N/A,cycle
_layer_norm_bwd_dwdb,Average SMSP Active Cycles,N/A,2891.49,N/A,cycle
_layer_norm_bwd_dwdb,Total SMSP Elapsed Cycles,N/A,26878560,N/A,cycle
_layer_norm_bwd_dwdb,Achieved of Possible Occupancy,N/A,0.2,N/A,%
_layer_norm_bwd_dwdb,Cosine Similarity,N/A,1.0,N/A,
_layer_norm_bwd_dwdb,compiles,True,True,N/A,
_layer_norm_bwd_dx_fused,DRAM Frequency,N/A,1585763293.31,N/A,hz
_layer_norm_bwd_dx_fused,SM Frequency,N/A,1338228987.99,N/A,hz
_layer_norm_bwd_dx_fused,Elapsed Cycles,N/A,25076,N/A,cycle
