kernel_name,Metric Name,AI generated Metric Value,Reference Metric Value,Difference,Metric Unit
_layer_norm_bwd_dwdb,DRAM Frequency,N/A,1592846924.18,N/A,hz
_layer_norm_bwd_dwdb,SM Frequency,N/A,1348799624.46,N/A,hz
_layer_norm_bwd_dwdb,Elapsed Cycles,N/A,50294,N/A,cycle
_layer_norm_bwd_dwdb,Memory Throughput,N/A,2.31,N/A,%
_layer_norm_bwd_dwdb,DRAM Throughput,N/A,2.31,N/A,%
_layer_norm_bwd_dwdb,Duration,N/A,37280,N/A,ns
_layer_norm_bwd_dwdb,L1/TEX Cache Throughput,N/A,7.02,N/A,%
_layer_norm_bwd_dwdb,L2 Cache Throughput,N/A,3.03,N/A,%
_layer_norm_bwd_dwdb,SM Active Cycles,N/A,2824.33,N/A,cycle
_layer_norm_bwd_dwdb,Compute (SM) Throughput,N/A,0.26,N/A,%
_layer_norm_bwd_dwdb,Block Size,N/A,128,N/A,
_layer_norm_bwd_dwdb,Cluster Size,N/A,0,N/A,
_layer_norm_bwd_dwdb,Grid Size,N/A,8,N/A,
_layer_norm_bwd_dwdb,Registers Per Thread,N/A,96,N/A,register/thread
_layer_norm_bwd_dwdb,Shared Memory Configuration Size,N/A,32768,N/A,byte
_layer_norm_bwd_dwdb,Driver Shared Memory Per Block,N/A,1024,N/A,byte/block
_layer_norm_bwd_dwdb,Dynamic Shared Memory Per Block,N/A,2048,N/A,byte/block
_layer_norm_bwd_dwdb,Static Shared Memory Per Block,N/A,0,N/A,byte/block
_layer_norm_bwd_dwdb,# SMs,N/A,132,N/A,SM
_layer_norm_bwd_dwdb,Threads,N/A,1024,N/A,thread
_layer_norm_bwd_dwdb,Uses Green Context,N/A,0,N/A,
_layer_norm_bwd_dwdb,Waves Per SM,N/A,0.01,N/A,
_layer_norm_bwd_dwdb,Max Active Clusters,N/A,0,N/A,cluster
_layer_norm_bwd_dwdb,Max Cluster Size,N/A,8,N/A,block
_layer_norm_bwd_dwdb,Overall GPU Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dwdb,Cluster Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dwdb,Block Limit Barriers,N/A,32,N/A,block
_layer_norm_bwd_dwdb,Block Limit SM,N/A,32,N/A,block
_layer_norm_bwd_dwdb,Block Limit Registers,N/A,5,N/A,block
