kernel_name,Metric Name,AI generated Metric Value,Reference Metric Value,Difference,Metric Unit
_layer_norm_bwd_dwdb,DRAM Frequency,N/A,1590097629.01,N/A,hz
_layer_norm_bwd_dwdb,SM Frequency,N/A,1347492808.58,N/A,hz
_layer_norm_bwd_dwdb,Elapsed Cycles,N/A,51536,N/A,cycle
_layer_norm_bwd_dwdb,Memory Throughput,N/A,2.26,N/A,%
_layer_norm_bwd_dwdb,DRAM Throughput,N/A,2.26,N/A,%
_layer_norm_bwd_dwdb,Duration,N/A,38240,N/A,ns
_layer_norm_bwd_dwdb,L1/TEX Cache Throughput,N/A,6.97,N/A,%
_layer_norm_bwd_dwdb,L2 Cache Throughput,N/A,2.82,N/A,%
_layer_norm_bwd_dwdb,SM Active Cycles,N/A,2841.97,N/A,cycle
_layer_norm_bwd_dwdb,Compute (SM) Throughput,N/A,0.26,N/A,%
_layer_norm_bwd_dwdb,Block Size,N/A,128,N/A,
_layer_norm_bwd_dwdb,Cluster Size,N/A,0,N/A,
_layer_norm_bwd_dwdb,Grid Size,N/A,8,N/A,
_layer_norm_bwd_dwdb,Registers Per Thread,N/A,96,N/A,register/thread
_layer_norm_bwd_dwdb,Shared Memory Configuration Size,N/A,32768,N/A,byte
_layer_norm_bwd_dwdb,Driver Shared Memory Per Block,N/A,1024,N/A,byte/block
_layer_norm_bwd_dwdb,Dynamic Shared Memory Per Block,N/A,2048,N/A,byte/block
_layer_norm_bwd_dwdb,Static Shared Memory Per Block,N/A,0,N/A,byte/block
_layer_norm_bwd_dwdb,# SMs,N/A,132,N/A,SM
_layer_norm_bwd_dwdb,Threads,N/A,1024,N/A,thread
_layer_norm_bwd_dwdb,Uses Green Context,N/A,0,N/A,
_layer_norm_bwd_dwdb,Waves Per SM,N/A,0.01,N/A,
_layer_norm_bwd_dwdb,Max Active Clusters,N/A,0,N/A,cluster
_layer_norm_bwd_dwdb,Max Cluster Size,N/A,8,N/A,block
_layer_norm_bwd_dwdb,Overall GPU Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dwdb,Cluster Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dwdb,Block Limit Barriers,N/A,32,N/A,block
_layer_norm_bwd_dwdb,Block Limit SM,N/A,32,N/A,block
_layer_norm_bwd_dwdb,Block Limit Registers,N/A,5,N/A,block
_layer_norm_bwd_dwdb,Block Limit Shared Mem,N/A,10,N/A,block
_layer_norm_bwd_dwdb,Block Limit Warps,N/A,16,N/A,block
_layer_norm_bwd_dwdb,Theoretical Active Warps per SM,N/A,20,N/A,warp
_layer_norm_bwd_dwdb,Theoretical Occupancy,N/A,31.25,N/A,%
_layer_norm_bwd_dwdb,Achieved Occupancy,N/A,6.25,N/A,%
_layer_norm_bwd_dwdb,Achieved Active Warps Per SM,N/A,4.00,N/A,warp
_layer_norm_bwd_dwdb,Average DRAM Active Cycles,N/A,1372.17,N/A,cycle
_layer_norm_bwd_dwdb,Total DRAM Elapsed Cycles,N/A,2918656,N/A,cycle
_layer_norm_bwd_dwdb,Average L1 Active Cycles,N/A,2841.97,N/A,cycle
_layer_norm_bwd_dwdb,Total L1 Elapsed Cycles,N/A,6801718,N/A,cycle
_layer_norm_bwd_dwdb,Average L2 Active Cycles,N/A,22532.51,N/A,cycle
_layer_norm_bwd_dwdb,Total L2 Elapsed Cycles,N/A,4946016,N/A,cycle
_layer_norm_bwd_dwdb,Average SM Active Cycles,N/A,2841.97,N/A,cycle
_layer_norm_bwd_dwdb,Total SM Elapsed Cycles,N/A,6801718,N/A,cycle
_layer_norm_bwd_dwdb,Average SMSP Active Cycles,N/A,2875.98,N/A,cycle
_layer_norm_bwd_dwdb,Total SMSP Elapsed Cycles,N/A,27206872,N/A,cycle
_layer_norm_bwd_dwdb,Achieved of Possible Occupancy,N/A,0.2,N/A,%
_layer_norm_bwd_dwdb,Cosine Similarity,N/A,1.0,N/A,
_layer_norm_bwd_dwdb,compiles,True,True,N/A,
_layer_norm_bwd_dx_fused,DRAM Frequency,N/A,1591652072.39,N/A,hz
_layer_norm_bwd_dx_fused,SM Frequency,N/A,1340630472.85,N/A,hz
_layer_norm_bwd_dx_fused,Elapsed Cycles,N/A,24591,N/A,cycle
_layer_norm_bwd_dx_fused,Memory Throughput,N/A,38.47,N/A,%
_layer_norm_bwd_dx_fused,DRAM Throughput,N/A,18.83,N/A,%
_layer_norm_bwd_dx_fused,Duration,N/A,18272,N/A,ns
_layer_norm_bwd_dx_fused,L1/TEX Cache Throughput,N/A,19.42,N/A,%
_layer_norm_bwd_dx_fused,L2 Cache Throughput,N/A,63.90,N/A,%
_layer_norm_bwd_dx_fused,SM Active Cycles,N/A,19632.28,N/A,cycle
_layer_norm_bwd_dx_fused,Compute (SM) Throughput,N/A,10.90,N/A,%
_layer_norm_bwd_dx_fused,Block Size,N/A,128,N/A,
_layer_norm_bwd_dx_fused,Cluster Size,N/A,0,N/A,
_layer_norm_bwd_dx_fused,Grid Size,N/A,1024,N/A,
_layer_norm_bwd_dx_fused,Registers Per Thread,N/A,40,N/A,register/thread
_layer_norm_bwd_dx_fused,Shared Memory Configuration Size,N/A,32768,N/A,byte
_layer_norm_bwd_dx_fused,Driver Shared Memory Per Block,N/A,1024,N/A,byte/block
_layer_norm_bwd_dx_fused,Dynamic Shared Memory Per Block,N/A,16,N/A,byte/block
_layer_norm_bwd_dx_fused,Static Shared Memory Per Block,N/A,0,N/A,byte/block
_layer_norm_bwd_dx_fused,# SMs,N/A,132,N/A,SM
_layer_norm_bwd_dx_fused,Threads,N/A,131072,N/A,thread
_layer_norm_bwd_dx_fused,Uses Green Context,N/A,0,N/A,
_layer_norm_bwd_dx_fused,Waves Per SM,N/A,0.65,N/A,
_layer_norm_bwd_dx_fused,Max Active Clusters,N/A,0,N/A,cluster
_layer_norm_bwd_dx_fused,Max Cluster Size,N/A,8,N/A,block
_layer_norm_bwd_dx_fused,Overall GPU Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dx_fused,Cluster Occupancy,N/A,0,N/A,%
_layer_norm_bwd_dx_fused,Block Limit Barriers,N/A,32,N/A,block
_layer_norm_bwd_dx_fused,Block Limit SM,N/A,32,N/A,block
_layer_norm_bwd_dx_fused,Block Limit Registers,N/A,12,N/A,block
_layer_norm_bwd_dx_fused,Block Limit Shared Mem,N/A,28,N/A,block
_layer_norm_bwd_dx_fused,Block Limit Warps,N/A,16,N/A,block
_layer_norm_bwd_dx_fused,Theoretical Active Warps per SM,N/A,48,N/A,warp
_layer_norm_bwd_dx_fused,Theoretical Occupancy,N/A,75,N/A,%
_layer_norm_bwd_dx_fused,Achieved Occupancy,N/A,34.56,N/A,%
_layer_norm_bwd_dx_fused,Achieved Active Warps Per SM,N/A,22.12,N/A,warp
_layer_norm_bwd_dx_fused,Average DRAM Active Cycles,N/A,5475.67,N/A,cycle
_layer_norm_bwd_dx_fused,Total DRAM Elapsed Cycles,N/A,1395968,N/A,cycle
_layer_norm_bwd_dx_fused,Average L1 Active Cycles,N/A,19632.28,N/A,cycle
_layer_norm_bwd_dx_fused,Total L1 Elapsed Cycles,N/A,3233262,N/A,cycle
_layer_norm_bwd_dx_fused,Average L2 Active Cycles,N/A,21239.61,N/A,cycle
_layer_norm_bwd_dx_fused,Total L2 Elapsed Cycles,N/A,2349504,N/A,cycle
_layer_norm_bwd_dx_fused,Average SM Active Cycles,N/A,19632.28,N/A,cycle
_layer_norm_bwd_dx_fused,Total SM Elapsed Cycles,N/A,3233262,N/A,cycle
_layer_norm_bwd_dx_fused,Average SMSP Active Cycles,N/A,18822.97,N/A,cycle
_layer_norm_bwd_dx_fused,Total SMSP Elapsed Cycles,N/A,12933048,N/A,cycle
_layer_norm_bwd_dx_fused,Achieved of Possible Occupancy,N/A,0.46080000000000004,N/A,%
_layer_norm_bwd_dx_fused,Cosine Similarity,N/A,1.0,N/A,
_layer_norm_bwd_dx_fused,compiles,True,True,N/A,
_layer_norm_fwd_fused,DRAM Frequency,N/A,1575396825.40,N/A,hz
_layer_norm_fwd_fused,SM Frequency,N/A,1319459945.44,N/A,hz
_layer_norm_fwd_fused,Elapsed Cycles,N/A,10719,N/A,cycle
_layer_norm_fwd_fused,Memory Throughput,N/A,24.24,N/A,%
_layer_norm_fwd_fused,DRAM Throughput,N/A,21.59,N/A,%
_layer_norm_fwd_fused,Duration,N/A,8064,N/A,ns
_layer_norm_fwd_fused,L1/TEX Cache Throughput,N/A,39.46,N/A,%
_layer_norm_fwd_fused,L2 Cache Throughput,N/A,33.77,N/A,%
_layer_norm_fwd_fused,SM Active Cycles,N/A,6534.61,N/A,cycle
_layer_norm_fwd_fused,Compute (SM) Throughput,N/A,24.45,N/A,%
_layer_norm_fwd_fused,Block Size,N/A,128,N/A,
_layer_norm_fwd_fused,Cluster Size,N/A,0,N/A,
_layer_norm_fwd_fused,Grid Size,N/A,1024,N/A,
_layer_norm_fwd_fused,Registers Per Thread,N/A,32,N/A,register/thread
_layer_norm_fwd_fused,Shared Memory Configuration Size,N/A,32768,N/A,byte
_layer_norm_fwd_fused,Driver Shared Memory Per Block,N/A,1024,N/A,byte/block
_layer_norm_fwd_fused,Dynamic Shared Memory Per Block,N/A,16,N/A,byte/block
_layer_norm_fwd_fused,Static Shared Memory Per Block,N/A,0,N/A,byte/block
_layer_norm_fwd_fused,# SMs,N/A,132,N/A,SM
_layer_norm_fwd_fused,Threads,N/A,131072,N/A,thread
_layer_norm_fwd_fused,Uses Green Context,N/A,0,N/A,
_layer_norm_fwd_fused,Waves Per SM,N/A,0.48,N/A,
_layer_norm_fwd_fused,Max Active Clusters,N/A,0,N/A,cluster
_layer_norm_fwd_fused,Max Cluster Size,N/A,8,N/A,block
_layer_norm_fwd_fused,Overall GPU Occupancy,N/A,0,N/A,%
_layer_norm_fwd_fused,Cluster Occupancy,N/A,0,N/A,%
_layer_norm_fwd_fused,Block Limit Barriers,N/A,32,N/A,block
_layer_norm_fwd_fused,Block Limit SM,N/A,32,N/A,block
_layer_norm_fwd_fused,Block Limit Registers,N/A,16,N/A,block
_layer_norm_fwd_fused,Block Limit Shared Mem,N/A,28,N/A,block
_layer_norm_fwd_fused,Block Limit Warps,N/A,16,N/A,block
_layer_norm_fwd_fused,Theoretical Active Warps per SM,N/A,64,N/A,warp
_layer_norm_fwd_fused,Theoretical Occupancy,N/A,100,N/A,%
_layer_norm_fwd_fused,Achieved Occupancy,N/A,42.97,N/A,%
_layer_norm_fwd_fused,Achieved Active Warps Per SM,N/A,27.50,N/A,warp
_layer_norm_fwd_fused,Average DRAM Active Cycles,N/A,2743.33,N/A,cycle
_layer_norm_fwd_fused,Total DRAM Elapsed Cycles,N/A,609792,N/A,cycle
_layer_norm_fwd_fused,Average L1 Active Cycles,N/A,6534.61,N/A,cycle
_layer_norm_fwd_fused,Total L1 Elapsed Cycles,N/A,1404362,N/A,cycle
_layer_norm_fwd_fused,Average L2 Active Cycles,N/A,6924.97,N/A,cycle
_layer_norm_fwd_fused,Total L2 Elapsed Cycles,N/A,1033248,N/A,cycle
_layer_norm_fwd_fused,Average SM Active Cycles,N/A,6534.61,N/A,cycle
_layer_norm_fwd_fused,Total SM Elapsed Cycles,N/A,1404362,N/A,cycle
_layer_norm_fwd_fused,Average SMSP Active Cycles,N/A,6586.88,N/A,cycle
_layer_norm_fwd_fused,Total SMSP Elapsed Cycles,N/A,5617448,N/A,cycle
_layer_norm_fwd_fused,Achieved of Possible Occupancy,N/A,0.42969999999999997,N/A,%
_layer_norm_fwd_fused,Cosine Similarity,N/A,N/A,N/A,
_layer_norm_fwd_fused,compiles,True,True,N/A,
add_kernel,DRAM Frequency,N/A,1569220430.11,N/A,hz
add_kernel,SM Frequency,N/A,1335055443.55,N/A,hz
add_kernel,Elapsed Cycles,N/A,5306,N/A,cycle
add_kernel,Memory Throughput,N/A,12.99,N/A,%
add_kernel,DRAM Throughput,N/A,8.27,N/A,%
add_kernel,Duration,N/A,3968,N/A,ns
add_kernel,L1/TEX Cache Throughput,N/A,7.33,N/A,%
add_kernel,L2 Cache Throughput,N/A,20.33,N/A,%
add_kernel,SM Active Cycles,N/A,1616.36,N/A,cycle
add_kernel,Compute (SM) Throughput,N/A,0.78,N/A,%
add_kernel,Block Size,N/A,128,N/A,
add_kernel,Cluster Size,N/A,0,N/A,
add_kernel,Grid Size,N/A,97,N/A,
add_kernel,Registers Per Thread,N/A,26,N/A,register/thread
add_kernel,Shared Memory Configuration Size,N/A,32768,N/A,byte
add_kernel,Driver Shared Memory Per Block,N/A,1024,N/A,byte/block
